Price,Close,High,Low,Open,Volume,Return,MA5,MA10,Target
Ticker,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,,,,
Date,,,,,,,,,
2025-10-24,1176.0205078125,1177.7167164155528,1158.360792509458,1167.0409667852948,467315,0.015245394493077047,1154.0705810546874,1155.0583374023438,1
2025-10-27,1204.2562255859375,1211.2403130582668,1178.6146960117992,1186.1973951946213,708504,0.024009545399814813,1166.4822998046875,1160.3363159179687,0
2025-10-28,1187.59423828125,1226.0067194189621,1177.517100340737,1220.2198553616074,812079,-0.01383591543949092,1175.20244140625,1163.8582885742187,1
2025-10-29,1191.385498046875,1195.975016777722,1159.657860200119,1187.993202709182,446515,0.003192386459462737,1183.5234619140624,1167.599755859375,0
2025-10-30,1168.8369140625,1196.8730120130751,1163.4491651320732,1192.6826082854204,879409,-0.01892635425002276,1185.6186767578124,1168.16845703125,0
2025-10-31,1164.0478515625,1178.4151423683325,1158.7599724041324,1167.3403988404627,385752,-0.0040972888881091185,1183.2241455078124,1168.64736328125,0
2025-11-03,1161.35400390625,1167.3403647511275,1146.088735034683,1164.0478175693156,385914,-0.0023142069740810234,1174.643701171875,1170.5630004882812,0
2025-11-04,1152.7735595703125,1166.7417346551008,1146.3880837444165,1157.363078453893,473254,-0.007388310805384823,1167.6795654296875,1171.4410034179687,1
2025-11-06,1156.5648193359375,1158.9593879347767,1140.900557814596,1152.7735306978589,477984,0.003288815686437241,1160.7154296875,1172.1194458007812,0
2025-11-07,1150.3790283203125,1153.7713238812098,1138.4063064297281,1147.9844595836305,544548,-0.005348417064230504,1157.0238525390625,1171.3212646484376,1
2025-11-10,1190.1883544921875,1206.7505954368482,1144.5921654913463,1153.671577037616,2229653,0.03460539977854182,1162.251953125,1172.7380493164062,1
2025-11-11,1209.7437744140625,1213.6349333872377,1168.0387444429052,1181.4083082465413,976816,0.01643052534337608,1171.9299072265626,1173.2868041992188,1
2025-11-12,1241.4715576171875,1244.0656230465672,1203.7574342907003,1209.2449319190457,1128899,0.026226862145657392,1189.6695068359375,1178.6745361328126,0
2025-11-13,1235.8841552734375,1248.8546038500722,1228.101959203151,1241.4715228637854,553299,-0.004500628556061481,1205.5333740234375,1183.1244018554687,0
2025-11-14,1219.421630859375,1241.1721235421126,1212.8366584210114,1231.294603988157,612843,-0.013320442975029656,1219.34189453125,1188.1828735351562,0
2025-11-17,1213.23583984375,1224.2108351054944,1207.3492271175217,1219.421697546875,509828,-0.005072725347069373,1223.9513916015626,1193.1016723632813,0
2025-11-18,1192.38330078125,1214.5329093084586,1190.3878471369694,1213.2358157225462,881401,-0.017187539617347203,1220.479296875,1196.2046020507812,1
2025-11-19,1200.3651123046875,1216.12924477153,1187.2949153264653,1187.2949153264653,883112,0.006693998077805796,1212.2580078125,1200.9637573242187,0
2025-11-20,1193.8798828125,1223.3128238634329,1190.7869540436786,1200.3651071118582,966267,-0.005402714078998838,1203.8571533203126,1204.695263671875,0
2025-11-21,1166.242919921875,1193.2812927484972,1160.4560555710143,1193.2812927484972,386138,-0.02314886387524917,1193.2214111328126,1206.2816528320313,1
2025-11-24,1195.4761962890625,1207.8480328977325,1162.4514637541993,1162.4514637541993,1478312,0.025066198360411684,1189.669482421875,1206.8104370117187,0
2025-11-25,1169.3358154296875,1196.8730508884091,1166.1431383708994,1195.5760791176365,450864,-0.02186608226957476,1185.0599853515625,1202.7696411132813,1
2025-11-26,1192.1837158203125,1194.7777810071511,1165.4445902505834,1169.834612301365,476916,0.019539211994656247,1183.4237060546875,1197.8408569335938,1
2025-11-27,1216.1292724609375,1219.2222013135602,1191.285849728634,1191.7847131497936,750796,0.02008545857728694,1187.873583984375,1195.8653686523437,1
2025-11-28,1219.6212158203125,1226.1064397605132,1207.7482430173816,1216.2289204776441,462489,0.0028713586938902136,1198.5492431640625,1195.8853271484375,1
2025-12-01,1255.33984375,1269.1085226658636,1209.7437765191507,1215.5306408270528,1195256,0.029286656763889862,1210.52197265625,1200.0957275390624,0
2025-12-02,1250.6505126953125,1259.8295503098934,1240.9726116931386,1250.7502610142672,486300,-0.003735507223828205,1226.784912109375,1205.9224487304687,1
2025-12-03,1255.838623046875,1264.2195521824447,1246.1607222000782,1247.1584489592456,573428,0.004148329448473653,1239.5158935546874,1211.4697998046875,1
2025-12-04,1266.91357421875,1281.9792249547465,1253.1448952827488,1255.8387089997454,828119,0.008818769361468748,1249.67275390625,1218.7731689453126,0
2025-12-05,1264.119873046875,1272.101687557037,1255.7389434526403,1272.101687557037,435214,-0.0022051237185597428,1258.5724853515626,1228.5608642578125,0
2025-12-08,1217.7255859375,1258.5326373053595,1210.6417498616888,1258.1335222180971,454257,-0.03670086049478205,1251.0496337890625,1230.7858032226563,0
2025-12-09,1203.3582763671875,1220.2198837472804,1191.2858063730603,1205.2539816571666,547606,-0.011798478849609939,1241.5911865234375,1234.1880493164062,0
2025-12-10,1195.97509765625,1217.0272311199408,1189.2903766389165,1204.156530705468,494500,-0.0061354783990238415,1229.6184814453125,1234.5671875,1
2025-12-11,1229.6982421875,1233.3897825138563,1192.2834883684077,1195.276668673935,420052,0.028197196243748834,1222.1754150390625,1235.9240844726562,1
2025-12-12,1235.0860595703125,1237.181261541778,1217.2267250652976,1230.995403951199,382004,0.0043814142347866625,1216.36865234375,1237.4705688476563,0
2025-12-15,1204.6553955078125,1234.8864452959751,1202.2608267639912,1234.1880852340723,760377,-0.02463849691015607,1213.7546142578126,1232.4021240234374,0
2025-12-16,1173.6260986328125,1207.2494435075887,1162.9503486599851,1204.6553781528312,932672,-0.02575782002945315,1207.8081787109375,1224.6996826171876,0
2025-12-17,1166.242919921875,1175.4219580720408,1161.4537824044162,1167.3403950800516,514626,-0.006290912173424146,1201.8617431640625,1215.7401123046875,0
