Close,High,Low,Open,Volume,Return,MA5,MA10,Target
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,
3008.508544921875,3034.8300966289034,3003.6961270890743,3025.0086400055093,2684318,-0.00325396260478783,2970.106640625,2948.732568359375,1
3029.821044921875,3038.9550474990237,3005.5620951218402,3011.7496607245316,1946312,0.007084074943371377,2994.20849609375,2955.3966796875,0
3003.30322265625,3035.0265765381446,2985.919291823652,3021.0801556355614,3470737,-0.008752273442047098,3002.596044921875,2961.4736328125,0
3003.0087890625,3021.080174034828,2991.714113509379,3003.3032409472494,2895420,-9.803658569296214e-05,3012.5943359375,2972.1102783203123,0
2981.106689453125,3009.0978400091353,2978.6513253692647,2994.6603471523654,2241536,-0.007293385117335127,3005.149658203125,2978.543310546875,1
3003.4013671875,3012.6334402910475,2971.088871543434,2980.8120174669925,1868085,0.0074786581148711395,3004.12822265625,2987.117431640625,0
2962.93701171875,3003.4013640895914,2956.2583734171585,2992.499451583931,2194877,-0.01347284312740471,2990.751416015625,2992.4799560546876,0
2936.81201171875,2975.214004338424,2922.8655907942766,2965.6872390451917,2670720,-0.008817264726409202,2977.453173828125,2990.024609375,1
2957.142333984375,2970.0085383136757,2936.61558517126,2936.7138956519902,2542721,0.006922582100761243,2968.2798828125,2990.437109375,0
2938.383544921875,2950.3656744717186,2907.6423366423182,2947.419237380036,1830520,-0.00634355297914424,2959.73525390625,2982.4424560546877,1
2971.18701171875,2993.4816703122747,2938.579823663838,2939.5619693268272,1556656,0.011163779777342508,2953.2923828125,2978.710302734375,1
2992.597900390625,3001.142519888641,2964.1156755427983,2990.633609021809,2806868,0.007206173353419887,2959.224560546875,2974.98798828125,1
3075.8837890625,3080.4015151753365,3002.51755709654,3005.3656835637266,4460315,0.027830631258881633,2987.038916015625,2982.246044921875,0
3050.249755859375,3075.9819244274895,3046.61586484088,3075.8838537295965,1740435,-0.008333875712169925,3005.660400390625,2986.9701416015623,1
3050.54443359375,3057.517763723578,3022.356900982103,3034.830102963518,2210794,9.660773968067637e-05,3028.092578125,2993.913916015625,0
3046.812255859375,3067.7320066302495,3031.4909272444793,3050.544457369475,2232853,-0.0012234464423054314,3043.217626953125,2998.2550048828125,0
